"uid","timestamp","location.lat","location.long","individual.taxon.canonical.name","tag.local.identifier"
24042,2009-03-09 01:03:03,53.91201,-118.56646,"Alces alces",26
24043,2009-03-09 03:02:40,53.9121,-118.566572,"Alces alces",26
24044,2009-03-09 05:03:03,53.912257,-118.566048,"Alces alces",26
24045,2009-03-09 07:02:40,53.912323,-118.56614,"Alces alces",26
24046,2009-03-09 09:02:41,53.912577,-118.564627,"Alces alces",26
24047,2009-03-09 11:02:42,53.912695,-118.564355,"Alces alces",26
24048,2009-03-09 13:02:41,53.912652,-118.564363,"Alces alces",26
24049,2009-03-09 15:02:42,53.912527,-118.56415,"Alces alces",26
24050,2009-03-09 17:03:03,53.91256,-118.564165,"Alces alces",26
24051,2009-03-09 19:02:41,53.912213,-118.563177,"Alces alces",26
24052,2009-03-09 21:02:42,53.912193,-118.563165,"Alces alces",26
24053,2009-03-09 23:02:40,53.911813,-118.561472,"Alces alces",26
24054,2009-03-10 01:02:43,53.9118,-118.561298,"Alces alces",26
24055,2009-03-10 03:02:40,53.911825,-118.56145,"Alces alces",26
24056,2009-03-10 05:02:48,53.912065,-118.561375,"Alces alces",26
24057,2009-03-10 07:02:40,53.912123,-118.561425,"Alces alces",26
24058,2009-03-10 09:03:20,53.912062,-118.562708,"Alces alces",26
24059,2009-03-10 11:03:03,53.911932,-118.562552,"Alces alces",26
24060,2009-03-10 13:02:40,53.912273,-118.563678,"Alces alces",26
24061,2009-03-10 15:02:41,53.912285,-118.563698,"Alces alces",26
24062,2009-03-10 17:03:03,53.912253,-118.563507,"Alces alces",26
24063,2009-03-10 19:02:41,53.912512,-118.563068,"Alces alces",26
24064,2009-03-10 21:02:41,53.914618,-118.5615,"Alces alces",26
24065,2009-03-10 23:02:40,53.914648,-118.561552,"Alces alces",26
24066,2009-03-11 01:02:40,53.914705,-118.561443,"Alces alces",26
24067,2009-03-11 03:02:52,53.914827,-118.561487,"Alces alces",26
24068,2009-03-11 05:03:03,53.914557,-118.560717,"Alces alces",26
24069,2009-03-11 07:02:48,53.91462,-118.560743,"Alces alces",26
24070,2009-03-11 09:02:41,53.914768,-118.560178,"Alces alces",26
24071,2009-03-11 11:02:43,53.909025,-118.561993,"Alces alces",26
24072,2009-03-11 13:03:03,53.909028,-118.561877,"Alces alces",26
24073,2009-03-11 15:02:49,53.908993,-118.561907,"Alces alces",26
24074,2009-03-11 17:02:40,53.909408,-118.561362,"Alces alces",26
24075,2009-03-11 19:02:41,53.909527,-118.560837,"Alces alces",26
24076,2009-03-11 21:02:40,53.909673,-118.560355,"Alces alces",26
24077,2009-03-11 23:02:41,53.908955,-118.559863,"Alces alces",26
24078,2009-03-12 01:02:52,53.908943,-118.559847,"Alces alces",26
24079,2009-03-12 03:02:40,53.909513,-118.558692,"Alces alces",26
24080,2009-03-12 05:02:41,53.909373,-118.558698,"Alces alces",26
24081,2009-03-12 07:02:36,53.90958,-118.559202,"Alces alces",26
24082,2009-03-12 09:02:46,53.908782,-118.561022,"Alces alces",26
24083,2009-03-12 11:02:43,53.907972,-118.561347,"Alces alces",26
24084,2009-03-12 13:03:03,53.908065,-118.56134,"Alces alces",26
24085,2009-03-12 15:02:41,53.907015,-118.560867,"Alces alces",26
24086,2009-03-12 17:03:03,53.907028,-118.561043,"Alces alces",26
24087,2009-03-12 19:02:41,53.907572,-118.559862,"Alces alces",26
24088,2009-03-12 21:02:41,53.907507,-118.559995,"Alces alces",26
24089,2009-03-12 23:02:41,53.907617,-118.560233,"Alces alces",26
24090,2009-03-13 01:02:51,53.907497,-118.559078,"Alces alces",26
24091,2009-03-13 03:02:40,53.907527,-118.559177,"Alces alces",26
24092,2009-03-13 05:03:03,53.907448,-118.559113,"Alces alces",26
24093,2009-03-13 07:02:40,53.906885,-118.560348,"Alces alces",26
24094,2009-03-13 09:02:48,53.906845,-118.560347,"Alces alces",26
24095,2009-03-13 11:03:03,53.906813,-118.561008,"Alces alces",26
24096,2009-03-13 13:02:41,53.90668,-118.560927,"Alces alces",26
24097,2009-03-13 15:03:06,53.906077,-118.559275,"Alces alces",26
24098,2009-03-13 17:02:49,53.902463,-118.556523,"Alces alces",26
24099,2009-03-13 19:02:48,53.90209,-118.552283,"Alces alces",26
24100,2009-03-13 21:02:41,53.89997,-118.539912,"Alces alces",26
24101,2009-03-13 23:02:41,53.899893,-118.53983,"Alces alces",26
24102,2009-03-14 01:02:41,53.89829,-118.539288,"Alces alces",26
24103,2009-03-14 03:02:40,53.898257,-118.539322,"Alces alces",26
24104,2009-03-14 05:03:04,53.89733,-118.537553,"Alces alces",26
24105,2009-03-14 07:02:41,53.896645,-118.538283,"Alces alces",26
24106,2009-03-14 09:02:40,53.89525,-118.53028,"Alces alces",26
24107,2009-03-14 11:02:40,53.897475,-118.521785,"Alces alces",26
24108,2009-03-14 13:03:03,53.89748,-118.521765,"Alces alces",26
24109,2009-03-14 15:02:53,53.897582,-118.521747,"Alces alces",26
24110,2009-03-14 17:03:03,53.897862,-118.51793,"Alces alces",26
24111,2009-03-14 19:02:41,53.897878,-118.517952,"Alces alces",26
24112,2009-03-14 21:02:41,53.902312,-118.514697,"Alces alces",26
24113,2009-03-14 23:02:40,53.902308,-118.514693,"Alces alces",26
24114,2009-03-15 01:02:40,53.90378,-118.515952,"Alces alces",26
24115,2009-03-15 03:02:41,53.906183,-118.515745,"Alces alces",26
24116,2009-03-15 05:02:40,53.906095,-118.51566,"Alces alces",26
24117,2009-03-15 07:02:43,53.906565,-118.515712,"Alces alces",26
24118,2009-03-15 09:03:05,53.907002,-118.514673,"Alces alces",26
24119,2009-03-15 11:02:41,53.906868,-118.51469,"Alces alces",26
24120,2009-03-15 13:02:41,53.907217,-118.513952,"Alces alces",26
24121,2009-03-15 15:03:03,53.907338,-118.513788,"Alces alces",26
24122,2009-03-15 17:03:03,53.907163,-118.513865,"Alces alces",26
24123,2009-03-15 19:02:54,53.907158,-118.51382,"Alces alces",26
24124,2009-03-15 21:02:36,53.906653,-118.512002,"Alces alces",26
24125,2009-03-15 23:02:40,53.906675,-118.511972,"Alces alces",26
24126,2009-03-16 01:02:40,53.906603,-118.51135,"Alces alces",26
24127,2009-03-16 03:02:37,53.907253,-118.511465,"Alces alces",26
24128,2009-03-16 05:02:41,53.90723,-118.511427,"Alces alces",26
24129,2009-03-16 07:02:40,53.907255,-118.511438,"Alces alces",26
24130,2009-03-16 09:02:42,53.907617,-118.513395,"Alces alces",26
24131,2009-03-16 11:02:40,53.907672,-118.513367,"Alces alces",26
24132,2009-03-16 13:02:40,53.907625,-118.513337,"Alces alces",26
24133,2009-03-16 15:03:03,53.907612,-118.513807,"Alces alces",26
24134,2009-03-16 17:02:41,53.907525,-118.51405,"Alces alces",26
24135,2009-03-16 19:02:43,53.90746,-118.514145,"Alces alces",26
24136,2009-03-16 21:02:40,53.907848,-118.514783,"Alces alces",26
24137,2009-03-16 23:02:40,53.90785,-118.514835,"Alces alces",26
24138,2009-03-17 01:02:47,53.908878,-118.515048,"Alces alces",26
24139,2009-03-17 03:02:40,53.908918,-118.517253,"Alces alces",26
24140,2009-03-17 05:02:48,53.908882,-118.517255,"Alces alces",26
24141,2009-03-17 07:02:41,53.90869,-118.520155,"Alces alces",26
24142,2009-03-17 09:02:48,53.908773,-118.52035,"Alces alces",26
24143,2009-03-17 11:03:03,53.910978,-118.521642,"Alces alces",26
24144,2009-03-17 13:02:40,53.910865,-118.521687,"Alces alces",26
24145,2009-03-17 15:02:41,53.910842,-118.522088,"Alces alces",26
24146,2009-03-17 17:02:41,53.913547,-118.526833,"Alces alces",26
24147,2009-03-17 19:02:41,53.915147,-118.52737,"Alces alces",26
24148,2009-03-17 21:02:37,53.915172,-118.527505,"Alces alces",26
24149,2009-03-17 23:02:36,53.915245,-118.527637,"Alces alces",26
24150,2009-03-18 01:02:41,53.915505,-118.528468,"Alces alces",26
24151,2009-03-18 03:02:40,53.91554,-118.528478,"Alces alces",26
24152,2009-03-18 05:03:03,53.915735,-118.529325,"Alces alces",26
24153,2009-03-18 07:02:40,53.915725,-118.529418,"Alces alces",26
24154,2009-03-18 09:03:04,53.916172,-118.530577,"Alces alces",26
24155,2009-03-18 11:02:52,53.918745,-118.530472,"Alces alces",26
24156,2009-03-18 13:02:41,53.919137,-118.52902,"Alces alces",26
24157,2009-03-18 15:03:13,53.919385,-118.528355,"Alces alces",26
24158,2009-03-18 17:03:04,53.919383,-118.52821,"Alces alces",26
24159,2009-03-18 19:02:40,53.92273,-118.529183,"Alces alces",26
24160,2009-03-18 21:03:04,53.925607,-118.528127,"Alces alces",26
24161,2009-03-18 23:02:40,53.925357,-118.5283,"Alces alces",26
24162,2009-03-19 01:02:41,53.925162,-118.527552,"Alces alces",26
24163,2009-03-19 03:02:41,53.924467,-118.524788,"Alces alces",26
24164,2009-03-19 05:02:40,53.924422,-118.524738,"Alces alces",26
24165,2009-03-19 07:02:40,53.924057,-118.522785,"Alces alces",26
24166,2009-03-19 09:03:04,53.924103,-118.521807,"Alces alces",26
24167,2009-03-19 11:02:40,53.924453,-118.519655,"Alces alces",26
24168,2009-03-19 13:02:55,53.92451,-118.519802,"Alces alces",26
24169,2009-03-19 15:02:41,53.924517,-118.519767,"Alces alces",26
24170,2009-03-19 17:02:43,53.925072,-118.5207,"Alces alces",26
24171,2009-03-19 19:03:03,53.925043,-118.520632,"Alces alces",26
24172,2009-03-19 21:02:40,53.924987,-118.51999,"Alces alces",26
24173,2009-03-19 23:02:37,53.923938,-118.514862,"Alces alces",26
24174,2009-03-20 01:02:41,53.923305,-118.51242,"Alces alces",26
24175,2009-03-20 03:02:40,53.922817,-118.511955,"Alces alces",26
24176,2009-03-20 05:02:36,53.92284,-118.51198,"Alces alces",26
24177,2009-03-20 07:03:39,53.922718,-118.513988,"Alces alces",26
24178,2009-03-20 09:03:51,53.920638,-118.514033,"Alces alces",26
24179,2009-03-20 11:02:41,53.9205,-118.513797,"Alces alces",26
24180,2009-03-20 13:03:05,53.920583,-118.514073,"Alces alces",26
24181,2009-03-20 15:03:17,53.917583,-118.519755,"Alces alces",26
24182,2009-03-20 17:03:05,53.91806,-118.518783,"Alces alces",26
24183,2009-03-20 19:02:45,53.91781,-118.518715,"Alces alces",26
24184,2009-03-20 21:02:45,53.9173,-118.518688,"Alces alces",26
24185,2009-03-20 23:02:53,53.917837,-118.521373,"Alces alces",26
24186,2009-03-21 01:03:04,53.918035,-118.521453,"Alces alces",26
24187,2009-03-21 03:02:53,53.918055,-118.521582,"Alces alces",26
24188,2009-03-21 05:03:03,53.918225,-118.5215,"Alces alces",26
24189,2009-03-21 07:03:14,53.918193,-118.521523,"Alces alces",26
24190,2009-03-21 09:03:06,53.91865,-118.521068,"Alces alces",26
24191,2009-03-21 11:03:05,53.918278,-118.521357,"Alces alces",26
24192,2009-03-21 13:03:04,53.917373,-118.52453,"Alces alces",26
