tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,alt-project-id,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-date,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-body-part,attachment-comments,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-method,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,deployment-image,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,scheduled-detachment-date,study-site,tag-beacon-frequency,tag-calibration,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-mass-total,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-retrieval-date,tag-serial-no,tag-settings
1,1,Alces alces,2008-03-11 00:00:00.000,2009-02-11 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,pregnant at capture,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
3,3,Alces alces,2008-03-11 00:00:00.000,2009-01-31 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
5,5,Alces alces,2008-03-12 00:00:00.000,2009-01-21 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
10,10,Alces alces,2008-03-13 00:00:00.000,2009-01-22 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,pregnant at capture,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
14,14,Alces alces,2008-12-03 00:00:00.000,2010-02-19 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,pregnant at capture,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
12,12,Alces alces,2008-12-03 00:00:00.000,2010-02-20 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,pregnant at capture,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
13,13,Alces alces,2008-12-03 00:00:00.000,2010-02-20 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
16,16,Alces alces,2008-12-04 00:00:00.000,2010-03-01 00:00:00.000,,,,,,,,,Adult,,,,,,,,,,,,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
9,9,Alces alces,2009-02-03 00:00:00.000,,,,,,hunted,,,,Adult,,,,,,,,,,,,,m,,,,,collar,,,,,,,,,,,,,,,,,,,,,dead,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
24,24,Alces alces,2009-03-07 00:00:00.000,2010-02-21 00:00:00.000,,,,,,,,,,,,,,,,,,,,pregnant at capture,,f,,,,,collar,,,,,,,,,,,,,,,,,,,,,removal,,,1 fix each 2-4 hr,,,,,,,,,,none,,,,,,,,,Advanced Telemetry Systems,,,ATS G2000,,,,,,
